Luminosity,Temperature,Humidity,Infrared,Distance,CreatedAt,IsAlarm
100,88,42,34,32,03/08/2020 15:07:59,Yes
100,121,42,34,7.96,03/08/2020 15:08:00,Yes
100,111,48,34,23,03/08/2020 15:08:01,Yes
100,33,48,34,41.84,03/08/2020 15:08:02,Yes
100,36.37,48,34,46.4,03/08/2020 15:08:03,Yes
100,38.95,48,34,21,03/08/2020 15:08:04,Yes
100,99,48,34,8.4,03/08/2020 15:08:05,Yes
100,35.08,48,34,19,03/08/2020 15:08:06,Yes
100,88,48,34,7.16,03/08/2020 15:08:07,Yes
100,50.55,48,34,21,03/08/2020 15:08:08,Yes
100,108.55,48,34,7,03/08/2020 15:08:09,Yes
100,90.83,48,34,12,03/08/2020 15:08:10,Yes
100,66.98,48,34,32,03/08/2020 15:08:11,Yes
100,65.37,48,34,43,03/08/2020 15:08:12,Yes
100,85.67,48,34,40.68,03/08/2020 15:08:13,Yes
100,36.37,48,34,42.18,03/08/2020 15:08:14,Yes
100,97.28,48,34,19,03/08/2020 15:08:15,Yes
100,74.72,48,34,400,03/08/2020 15:08:16,Yes
100,68.59,48,34,33,03/08/2020 15:08:17,Yes
100,95.34,48,34,7.9,03/08/2020 15:08:18,Yes
100,89.54,45,34,12,03/08/2020 15:08:19,Yes
100,48.94,45,34,7.56,03/08/2020 15:08:20,Yes
100,90.19,45,34,17,03/08/2020 15:08:21,Yes
100,82.77,45,34,6.25,03/08/2020 15:08:22,Yes
100,73.43,45,34,22,03/08/2020 15:08:23,Yes
100,47.32,45,24,28,03/08/2020 15:08:24,No
4.59,32.5,45,25,400,03/08/2020 15:08:25,No
4.49,32.5,45,26,400,03/08/2020 15:08:26,No
25.1,32.18,45,23,400,03/08/2020 15:08:27,No
19.43,32.5,45,24,400,03/08/2020 15:08:28,No
54.3,32.18,42,24,400,03/08/2020 15:08:29,No
54.39,32.18,42,25,54,03/08/2020 15:08:30,No
55.37,32.18,42,26,43,09/09/2020 08:18:31,No
53.52,32.5,42,23,43,09/09/2020 08:18:32,No
52.44,32.5,42,24,50.44,09/09/2020 08:18:33,No
54.88,32.5,42,24,32,09/09/2020 08:18:34,No
52.05,32.18,42,25,50.82,09/09/2020 08:18:35,No
33.11,32.18,42,26,34,09/09/2020 08:18:36,No
59.57,32.5,42,23,21.35,09/09/2020 08:18:37,No
100,22,42,24,51.01,09/09/2020 08:18:38,No
42.97,32.18,42,24,54,09/09/2020 08:18:39,No
